Date,Temperature,Type
1914-09-01,24.775117647058824,Historical
1914-10-01,22.166029411764704,Historical
1914-11-01,19.616176470588236,Historical
1914-12-01,15.949029411764707,Historical
1915-01-01,15.798617647058824,Historical
1915-02-01,17.151411764705884,Historical
1915-03-01,21.301000000000002,Historical
1915-04-01,24.94120588235294,Historical
1915-05-01,27.768676470588236,Historical
1915-06-01,27.412147058823532,Historical
1915-07-01,26.32564705882353,Historical
1915-08-01,25.691411764705883,Historical
1915-09-01,25.178735294117647,Historical
1915-10-01,24.024794117647062,Historical
1915-11-01,20.290470588235294,Historical
1915-12-01,15.944,Historical
1916-01-01,15.567617647058823,Historical
1916-02-01,17.285852941176472,Historical
1916-03-01,22.847676470588237,Historical
1916-04-01,25.352941176470587,Historical
1916-05-01,27.352823529411765,Historical
1916-06-01,26.328147058823532,Historical
1916-07-01,25.55064705882353,Historical
1916-08-01,25.075705882352942,Historical
1916-09-01,24.695735294117647,Historical
1916-10-01,22.794617647058825,Historical
1916-11-01,18.973617647058827,Historical
1916-12-01,15.202911764705883,Historical
1917-01-01,15.194500000000001,Historical
1917-02-01,17.34505882352941,Historical
1917-03-01,20.736764705882354,Historical
1917-04-01,23.510970588235296,Historical
1917-05-01,25.32585294117647,Historical
1917-06-01,26.107764705882353,Historical
1917-07-01,25.486588235294118,Historical
1917-08-01,25.072176470588236,Historical
1917-09-01,24.180617647058824,Historical
1917-10-01,22.323294117647063,Historical
1917-11-01,18.643676470588236,Historical
1917-12-01,15.580823529411767,Historical
1918-01-01,14.549735294117648,Historical
1918-02-01,17.34485294117647,Historical
1918-03-01,21.3445,Historical
1918-04-01,23.827205882352942,Historical
1918-05-01,27.212529411764706,Historical
1918-06-01,26.039617647058822,Historical
1918-07-01,26.467882352941178,Historical
1918-08-01,25.403029411764706,Historical
1918-09-01,25.001911764705884,Historical
1918-10-01,23.081735294117646,Historical
1918-11-01,19.49155882352941,Historical
1918-12-01,15.513617647058823,Historical
1919-01-01,15.881882352941178,Historical
1919-02-01,17.208676470588237,Historical
